Ciudad,Territorio,Anio,v1_d_001,v1_d_002,v2_p_001,v2_p_002,v2_p_003,v2_p_004,v2_p_005,v2_p_006,v2_p_007,v2_p_008,v3_s_001,v3_s_002,v3_s_003,v3_s_004,v3_s_005,v3_s_006,v3_s_007,v3_s_008,v3_s_009,v3_s_010,v3_s_011,v3_s_012,v4_e_001,v4_e_002,v4_e_003,v4_e_004,v4_e_005,v4_e_006,v4_e_007,v4_e_008,v4_e_009,v4_e_010,v4_e_011,v4_e_012,v5_ml_001,v5_ml_002,v5_ml_003,v5_ml_004,v5_ml_005,v6_sc_001,v6_sc_002,v6_sc_003,v6_sc_004,v6_sc_005,v6_sc_006,v6_sc_007,v6_sc_008,v6_sc_009,v6_sc_010,v6_sc_011,v6_sc_012,v7_v_001,v7_v_002,v7_v_003,v7_v_004,v7_v_005,v7_v_006,v7_v_007,v7_v_008,v7_v_009,v7_v_010,v7_v_011,v8_ma_01,v8_ma_02,v8_ma_03,v8_ma_04,v8_ma_05,v8_ma_06,v8_ma_07,v8_ma_08,v9_m_001,v9_m_002,v9_m_003,v9_m_004,v9_m_005,v9_m_006,v9_m_007,v9_m_008,v9_m_009,v9_m_010,v9_m_011,v9_m_012,v9_m_013,v9_m_014,v9_m_015,v0_ep_001,v0_ep_002,v1_cr_001,v1_cr_002,v1_cr_003,v2_pc_001,v2_pc_002,v2_pc_003,v2_pc_004,v2_pc_005,v2_pc_006,v2_pc_007,v2_pc_008,v2_pc_009,v2_pc_010,v2_pc_011,v2_pc_012,v2_pc_013,v2_pc_014,v2_pc_015,v2_pc_016,v2_pc_017,v3_gp_001,v3_gp_002,v3_gp_003,v3_gp_004,v3_gp_005,v3_gp_006,v3_gp_007,v3_gp_008,v3_gp_009,v4_ee_001,v4_ee_002,v4_ee_003
Pereira,Total Pereira,2013, 464719,84,24,5,1,0.48,9,7,3,8,96,91,50,592.40, 73.75,8,62.95,93,96,10.68,11.62,,23,62,91,83,49,98,5,39,53,28,48,9,61,52,50,14,22,8,50,48,9, 39.40,334.18, 60.61,28.80,6499,1,14.63, 28.19,83,60,100,89,32,98,83,97,80,,83,458.53,109.21,0,0.79,27.00, 1,, 46.26,50,  87616.21,63,-7,13.88,10.93,18.29,264.68,  3.60,6,2,44,4,19,10,3.19,26,19,71,80,19,45,22,3,8,4,8,41,22,25,20,29,36,33,39,45,56,77.57,46, 380347.8,54,84, 882633,65,23,18,1, 0.17, 5
Pereira,Total Pereira,2014, 467185,84,18,3,13,0.47,10,12,6,10,97,96,56,499.00, 22.04,8,48.90,91,90, 7.49,14.50,,20,57,89,85,47,86,5,3,50,33,50,,63,54,49,14,,13,43,43,, 35.50,335.00,,17.45,,,74.00, 36.00,83,60,100,91,31,98,81,98,81,,85,459.00,108.00,0,0.82,36.00, 1,, 96.00,66,,60,,15.20,12.73,16.10,242.73,,,,,,,,1.60,28,,71,78,38,,15,3,7,7,12,32,20,21,21,33,42,34,50,,54,77.60,, 362995.0,,84,,,21,16,, 0.17, 5
Pereira,Total Pereira,2015, 469612,84,18,2,0,0.44,7,16,6,10,100,94,48,640.70,111.92,7,56.17,83,98,10.63,11.60,,21,61,89,85,51,93,5,44,51,28,51,11,65,57,50,11,,11,49,51,, 31.10,294.00, 48.00,13.31,,0,47.00,177.00,88,19,100,89,29,98,85,98,80,,83,468.00,111.00,0,0.86,32.00, 1,,375.00,80,,65,,16.11,13.54,15.30,283.43,,,,,,,,,31,,,,29,,16,2,7,4,10,40,18,23,20,32,32,29,55,,57,,, 435888.0,,83,,,29,18,7, 0.29, 5
Valledupar,Total Valledupar,2011, 413341,85,36,6,11,0.48,,,9,11,113,91,58,372.82, 95.57,9,93.65,106,113,13.49,15.29,,6,58,87,68,40,91,3,,,,,3,61,54,,12,,11,19,38,, 30.24,359.51,,,12363,, 9.19, 55.16,,35,92,70,68,85,76,98,87,95,74,551.55, 79.33,98,0.88,28.00, 1,96, 13.08,38,,,19,,,,,,,,,,,,,34,36,89,,5,,26,2,11,5,9,43,19,22,23,30,38,35,,28,37,57.96,25, 101661.1,75,91, 715008,106,,37,5, 0.06,
Valledupar,Total Valledupar,2012, 423278,85,33,6,11,0.48,,,6,12,111,96,52,364.54,115.63,10,89.77,106,113,14.30,16.19,,6,55,87,70,38,91,4,25,35,16,38,6,63,57,,10,,18,34,27,, 24.10,364.30,,,8552,,16.77, 64.02,81,92,92,65,68,96,74,98,89,93,66,536.65, 79.85,98,0.86,32.00, 1,96,  0.00,38,,,5,,,,,,,,,,,,,19,10,51,74,26,,27,4,16,4,7,35,11,11,13,20,29,24,28,23,42,83.60,27, 166431.0,73,88, 684705,80,17,38,3, 0.08,
Valledupar,Total Valledupar,2013, 433242,85,31,4,-1,0.46,30,2,5,10,108,91,52,353.38, 74.30,10,88.80,100,111,12.53,14.44,,6,50,81,70,39,91,3,29,38,19,36,5,62,56,,10,,22,37,34,5, 24.47,435.32, 37.68, 4.28,10133,0,29.54,132.95,77,57,92,74,68,97,75,98,89,95,72,665.04, 84.71,98,0.73,45.00, 1,96, 32.31,41,,,-17, 5.88,10.02,16.62,123.95,  0.00,13,15,15,3,10,5,3.72,26,20,61,77,29,43,23,4,10,3,6,34,20,18,22,32,37,30,27,36,33,70.51,31, 203406.9,69,92,1008017,59,24,34,1, 0.09, 8
Valledupar,Total Valledupar,2014, 443210,85,27,4,,0.42,,,5,10,,,61,,,,,,,,,,,,,,,,7,27,36,19,34,,63,57,61,10,,20,34,25,, 18.70,,,,,,,,72,,,70,,,75,,81,,46,,,,,,,, 47.40,,,,,,,18.30,,,,,,,,,,24,,67,81,32,,25,2,13,2,6,24,,12,,,,,,,,,,,,,,,26,30,, 0.10,
Valledupar,Total Valledupar,2015, 453215,85,30,5,,0.45,,,4,9,,,,,,,,,,,,,,,,,,,4,33,37,19,32,7,61,55,60,10,,,,,, 23.20,,,,,,,,,,,,,,,,,,,,,,,,,,  2.20,,,,,,,13.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.10,
Yumbo,Total Yumbo,2011, 106559,88,25,5,-1,0.50,,,8,10,85,,,445.76, 94.61,8,51.89,88,89, 7.57, 8.51,,,,,,,,4,,,,,2,,,,,,,,,,106.98,226.17,,,19332,,27.21, 86.34,,63,100,,65,88,,100,,82,,381.75, 85.00,,0.95,64.19,,, 20.79,,,,, 0.10, 0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.12,84, 896267.2,16,64, 777603,2,,,, 0.06,
Yumbo,Total Yumbo,2012, 109131,88,23,5,11,0.52,,,6,10,87,,,400.44, 90.91,9,58.66,92,85,10.00,12.73,,7,45,91,79,41,,3,25,38,18,43,3,,,,,,,,,, 76.97,183.27,,,12370,,33.90, 63.23,,12,100,,60,88,,100,,83,,394.00, 94.00,,0.91,76.41,,,  3.94,,,,, 0.51, 1.00,,,,,,,,,,4.30,,,,,,,,,,,,,,,,,,,,,,81.00,82, 974447.9,18,57, 637932,6,,,, 0.08,
Yumbo,Total Yumbo,2013, 111753,88,22,4,3,0.51,39,0,5,8,87,98,50,426.83,  0.00,8,63.44,66,67, 8.61,12.06,,4,37,83,77,36,96,2,29,40,16,34,1,,,,,,10,32,51,, 56.37,144.07,139.13,,6980,,34.90, 52.80,85,0,100,61,55,99,66,100,82,85,83,381.02, 86.00,,0.92,70.90,,, 17.90,54,,,, 3.54,11.17,17.00,106.48,  0.00,16,5,0,3,15,11,,51,5,64,57,31,40,34,5,9,4,4,30,33,27,31,43,57,49,56,58,59,73.80,81,1035050.3,19,68, 986051,11,24,35,, 0.10,
Yumbo,Total Yumbo,2014, 114427,88,19,3,,0.49,41,3,5,8,,,55,,,,,,,,,,,,81,78,54,,2,26,42,21,37,,,,,,,9,43,48,, 59.40,,,,,,,,81,,,66,,,68,,81,,80,382.00, 86.00,,,89.00,,, 91.80,,,,,,,17.50,,,,,,,,,2.20,40,,67,70,26,,25,5,8,6,5,42,,25,,,,,,,,,,,,,,,37,44,, 0.11,
Yumbo,Total Yumbo,2015, 117156,88,17,3,,0.48,41,7,6,9,,,42,,,,,,,,,,,,,,,,2,27,36,14,37,3,,,,,,10,41,42,, 67.40,,,,,,,,,,,,,,,,,,,392.00, 86.00,,,,,, 42.70,,,,,,,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,30,, 0.09,
