Ciudad,Territorio,Anio,v1_d_001,v1_d_002,v2_p_001,v2_p_002,v2_p_003,v2_p_004,v2_p_005,v2_p_006,v2_p_007,v2_p_008,v3_s_001,v3_s_002,v3_s_003,v3_s_004,v3_s_005,v3_s_006,v3_s_007,v3_s_008,v3_s_009,v3_s_010,v3_s_011,v4_e_001,v4_e_002,v4_e_003,v4_e_004,v4_e_005,v4_e_006,v4_e_007,v4_e_008,v4_e_009,v4_e_010,v4_e_011,v4_e_012,v5_ml_001,v5_ml_002,v5_ml_003,v5_ml_004,v5_ml_005,v6_sc_001,v6_sc_002,v6_sc_003,v6_sc_004,v6_sc_005,v6_sc_006,v6_sc_007,v6_sc_008,v6_sc_009,v6_sc_010,v6_sc_011,v6_sc_012,v7_v_001,v7_v_002,v7_v_003,v7_v_004,v7_v_005,v7_v_006,v7_v_007,v7_v_008,v7_v_009,v7_v_010,v7_v_011,v8_ma_01,v8_ma_02,v8_ma_03,v8_ma_04,v8_ma_05,v8_ma_08,v9_m_001,v9_m_004,v9_m_005,v9_m_006,v9_m_007,v9_m_008,v9_m_009,v9_m_010,v9_m_011,v9_m_012,v9_m_013,v9_m_014,v9_m_015,v0_ep_001,v0_ep_002,v1_cr_001,v1_cr_002,v1_cr_003,v2_pc_001,v2_pc_002,v2_pc_003,v2_pc_004,v2_pc_005,v2_pc_006,v2_pc_007,v2_pc_008,v2_pc_009,v2_pc_010,v2_pc_011,v2_pc_012,v2_pc_013,v2_pc_014,v2_pc_015,v2_pc_016,v2_pc_017,v3_gp_001,v3_gp_002,v3_gp_003,v3_gp_004,v3_gp_005,v3_gp_006,v3_gp_007,v3_gp_008,v3_gp_009,v4_ee_001,v4_ee_002,v4_ee_003
Ibagué,Total Ibagué,2011,532020,94.0,22.0,3.0,2.0,0.45,,,13.0,16.0,88.0,95.0,48.0,529.49,51.2,7.000000000000001,68.88,86.0,90.0,8.45,9.73,9.0,61.0,82.0,73.0,45.0,86.0,3.0,,,,,2.0,71.0,57.99999999999999,61.0,17.0,27.0,22.0,32.0,33.0,,23.31,134.58,,,249.00000000000003,,6.0,37.0,,53.0,100.0,51.0,39.0,99.0,63.0,,80.0,,82.0,359.01,102.18,,,,8.66,49.0,,6.17,10.6,17.48,245.29,,40.0,24.0,35.0,48.0,28.000000000000004,25.0,,20.0,41.0,87.0,,3.0,,16.0,5.0,12.0,10.0,19.0,32.0,8.0,11.0,13.0,28.000000000000004,30.0,25.0,28.999999999999996,34.0,32.0,63.35,37.0,182639.49,63.0,84.0,518697.0,30.0,,32.0,4.0,0.1,
Ibagué,Total Ibagué,2012,537467,94.0,21.0,3.0,5.0,0.45,,,10.0,18.0,89.0,96.0,42.0,537.34,64.47,7.000000000000001,69.54,78.0,82.0,9.16,10.96,11.0,65.0,79.0,72.0,43.0,83.0,4.0,41.0,51.0,33.0,56.00000000000001,7.000000000000001,68.0,59.0,61.0,13.0,22.0,14.000000000000002,42.0,36.0,,21.95,238.34,,,200.0,,7.0,68.0,76.0,62.0,99.0,27.0,37.0,95.0,38.0,100.0,66.0,100.0,70.0,363.0,106.3,,0.72,,0.14,54.0,-1.0,6.63,11.67,16.37,249.69,,49.0,32.0,19.0,46.0,27.0,27.0,,18.0,28.000000000000004,75.0,75.0,26.0,,17.0,2.0,12.0,2.0,8.0,44.0,13.0,15.0,15.0,27.0,31.0,26.0,28.000000000000004,37.0,32.0,70.3,32.0,183517.7,68.0,85.0,569601.0,17.0,12.0,18.0,2.0,0.13,
Ibagué,Total Ibagué,2013,542876,94.0,19.0,3.0,10.0,0.45,37.0,5.0,10.0,16.0,90.0,96.0,41.0,528.3,26.11,7.000000000000001,64.49,93.0,93.0,8.22,10.7,12.0,64.0,80.0,73.0,43.0,84.0,3.0,44.0,51.0,32.0,51.0,6.0,70.0,60.0,59.0,14.000000000000002,22.0,13.0,43.0,45.0,9.0,17.5,243.89,30.3,10.8,204.99999999999997,0.0,4.0,57.0,83.0,83.0,101.0,51.0,42.0,97.0,56.00000000000001,100.0,75.0,100.0,78.0,376.17,109.77,12.0,0.78,,2.93,56.99999999999999,-8.0,7.14,13.52,13.45,251.99,0.0,41.0,45.0,12.0,48.0,26.0,26.0,,22.0,28.999999999999996,78.0,75.0,32.0,47.0,18.0,3.0,6.0,5.0,10.0,43.0,14.000000000000002,14.000000000000002,15.0,31.0,34.0,28.999999999999996,22.0,35.0,23.0,82.93,33.0,211750.45,67.0,87.0,726430.0,30.0,18.0,15.0,1.0,0.15,2.0
Ibagué,Total Ibagué,2014,548209,94.0,16.0,2.0,6.0,0.44,,,8.0,14.000000000000002,,97.0,50.0,,38.98,7.000000000000001,,93.0,96.0,11.04,13.64,,61.0,82.0,74.0,44.0,71.0,2.0,41.0,48.0,32.0,48.0,,68.0,60.0,56.99999999999999,12.0,,21.0,34.0,34.0,,18.2,373.22,27.7,,210.0,,3.83,31.19,84.0,54.0,88.0,49.0,42.0,85.0,53.0,100.0,73.0,100.0,75.0,386.0,107.0,12.0,,25.0,55.8,59.0,-3.0,7.6,15.0,10.22,263.22,0.0,48.0,38.0,14.000000000000002,51.0,23.0,26.0,1.36,17.0,31.0,80.0,83.0,32.0,,19.0,5.0,9.0,6.0,15.0,38.0,10.0,12.0,12.0,30.0,33.0,26.0,31.0,41.0,32.0,73.19,23.0,221207.0,51.0,85.0,819289.0,10.0,14.000000000000002,18.0,4.0,16.2,2.0
Ibagué,Total Ibagué,2015,553524,95.0,18.0,3.0,3.0,0.44,,,8.0,11.0,,97.0,43.0,,0.0,6.0,,97.0,96.0,6.46,7.75,,45.0,76.0,66.0,40.0,64.0,3.0,42.0,48.0,30.0,48.0,8.0,69.0,60.0,56.99999999999999,13.0,,18.0,43.0,37.0,,18.61,415.34,20.4,,164.0,,5.78,30.53,86.0,35.0,84.0,45.0,45.0,81.0,56.00000000000001,100.0,76.0,100.0,78.0,390.0,,12.0,0.72,32.9,22.4,60.0,,8.1,16.7,16.62,294.48,0.0,43.0,36.0,15.0,55.00000000000001,20.0,25.0,1.28,22.0,24.0,77.0,87.0,37.0,,14.000000000000002,2.0,5.0,4.0,10.0,37.0,14.000000000000002,14.000000000000002,14.000000000000002,34.0,39.0,32.0,38.0,42.0,37.0,,24.0,290182.0,45.0,87.0,1132064.0,10.0,14.000000000000002,11.0,7.000000000000001,0.17,2.0
