"fullReferrer"
"google"
"google.com.co/imgres"
"google"
"google"
"google"
"google"
"google"
"(direct)"
"(direct)"
"newsletter"
"newsletter"
"google"
"google"
"search.tb.ask.com/search/GGmain.jhtml"
"t.co/hzfGTACDon"
"(direct)"
"google"
"(direct)"
"google"
"l.facebook.com/l.php"
"l.facebook.com/l.php"
"m.facebook.com/"
"facebook.com/"
"google"
"(direct)"
"google"
"(direct)"
"fnpi.org/premioggm/finalista/quien-es-quien/"
"(direct)"
"google"
"l.facebook.com/l.php"
"google"
"google"
"google"
"(direct)"
"ciperchile.cl/"
"google"
"lm.facebook.com/lsr.php"
"webpress.prensanet.com.co/INFConsulta.aspx"
"(direct)"
"t.co/Y0pqOmcxW9"
"search.tb.ask.com/search/GGmain.jhtml"
"t.co/Y0pqOmcxW9"
"t.co/cYOEs80hbM"
"t.co/Y0pqOmcxW9"
"t.co/cYOEs80hbM"
"(direct)"
"(direct)"
"google"
"google"
"(direct)"
"google"
"t.co/jwXNdz1dbf"
"google"
"t.co/kGZMIuDej1"
"(direct)"
"(direct)"
"google"
"(direct)"
"(direct)"
"google"
"(direct)"
"google"
"(direct)"
"google"
"contactos.ideaspaz.org/t/r-875F9D539A6FBBEE2540EF23F30FEDED"
"(direct)"
"(direct)"
"m.facebook.com/"
"t.co/1ZRWiRNRy3"
"t.co/Exc65O4FAR"
"(direct)"
"facebook.com/"
"google"
"(direct)"
"(direct)"
"(direct)"
"google"
"(direct)"
"facebook.com/"
"google"
"t.co/9NCDTCpNms"
"t.co/s6owssA9OZ"
"(direct)"
"facebook.com/"
"t.co/9NCDTCpNms"
"(direct)"
"t.co/7xXPpNsZxH"
"google"
"(direct)"
"facebook.com/"
"facebook.com/"
"facebook.com/"
"lasillallena.lasillavacia.com/user/login"
"google"
"google"
"lasillallena.lasillavacia.com/user"
"lasillallena.lasillavacia.com/la-silla-de-la-educaci-n/desfinanciaci-n-y-negocio-universitario"
"t.co/Vr4kPrUiif"
"(direct)"
"facebook.com/"
"facebook.com/"
"(direct)"
"(direct)"
"facebook.com/"
"google"
"l.facebook.com/l.php"
"m.facebook.com/"
"t.co/8hjVvKqSQ3"
"t.co/SREo1HdvQL"
"(direct)"
"(direct)"
"(direct)"
"facebook.com/"
"google"
"l.facebook.com/l.php"
"lm.facebook.com/lsr.php"
"t.co/uLW4KAk1xj"
"(direct)"
"facebook.com/"
"l.facebook.com/l.php"
"m.facebook.com/"
"(direct)"
"facebook.com/"
"google"
"l.facebook.com/l.php"
"t.co/hzfGTACDon"
"t.co/vVqqhcHdnt"
"t.co/hzfGTACDon"
"facebook.com/"
"(direct)"
"facebook.com/"
"google"
"google.ca/search"
"lm.facebook.com/l.php"
"m.facebook.com/"
"facebook.com/"
"(direct)"
"facebook.com/"
"google"
"lm.facebook.com/l.php"
"t.co/Xen9VXaHOr"
"t.co/vaRVEgWC0O"
"t.co/zdZGrWc7wH"
"lasillallena.lasillavacia.com/la-silla-de-la-paz"
"(direct)"
"(direct)"
"t.co/h8DZCCf6wt"
"t.co/h8DZCCf6wt"
"t.co/uti2uZnMqV"
"(direct)"
"facebook.com/"
"google"
"l.facebook.com/l.php"
"t.co/Lj3XrFAM4h"
"t.co/ku7S4iUuIM"
"(direct)"
"facebook.com/"
"google"
"l.facebook.com/l.php"
"google"
"t.co/iPXyXp0k"
"(direct)"
"(direct)"
"google"
"t.co/pgXfqEeetr"
"t.co/7keu3HYUVv"
"google"
"google"
"search.snapdo.com/"
"(direct)"
"(direct)"
"(direct)"
"google"
"lasillallena.lasillavacia.com/user/10000473"
"lasillallena.lasillavacia.com/user/10000473"
"google"
"google"
"google"
"google"
"(direct)"
"yahoo"
"google"
"lasillallena.lasillavacia.com/"
"lasillallena.lasillavacia.com/node/99"
"facebook.com/"
"lasillallena.lasillavacia.com/"
"(direct)"
"google"
"(direct)"
"lasillallena.lasillavacia.com/user/login"
"google"
"(direct)"
"(direct)"
"google"
"google"
"google"
"google"
"(direct)"
"(direct)"
"google"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"google"
"google"
"google"
"(direct)"
"facebook.com/"
"google"
"(direct)"
"fnpi.org/premioggm/finalista/quien-es-quien/"
"google"
"google"
"(direct)"
"(direct)"
"google"
"google"
"(direct)"
"google"
"google"
"(direct)"
"facebook.com/"
"google"
"google"
"google"
"(direct)"
"facebook.com/"
"(direct)"
"google"
"(direct)"
"(direct)"
"lasillavacia.com/"
"(direct)"
"(direct)"
"(direct)"
"google"
"(direct)"
"fnpi.org/premioggm/finalista/quien-es-quien/"
"fnpi.org/premioggm/finalista/quien-es-quien/"
"google"
"google"
"(direct)"
"l.facebook.com/lsr.php"
"google"
"(direct)"
"google"
"google"
"(direct)"
"(direct)"
"(direct)"
"es.wikipedia.org/wiki/Brigitte_LG_Baptiste"
"google"
"l.facebook.com/l.php"
"lasillallena.lasillavacia.com/"
"t.co/22OoRVGcu5"
"(direct)"
"google"
"google"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"m.facebook.com/"
"google"
"google"
"google"
"google"
"google"
"google"
"google"
"google"
"google"
"google"
"google"
"google"
"google"
"google"
"(direct)"
"(direct)"
"google"
"(direct)"
"google"
"google"
"(direct)"
"google"
"(direct)"
"(direct)"
"(direct)"
"t.co/9a4Cot5Ts5"
"(direct)"
"google"
"(direct)"
"(direct)"
"lasillallena.lasillavacia.com/"
"google"
"l.facebook.com/l.php"
"t.co/1hweLIG1SC"
"google"
"(direct)"
"google"
"google"
"caronte.unab.edu.co/requests/show/index/id/122316"
"(direct)"
"google"
"(direct)"
"t.co/zmGIze2KkE"
"google"
"t.co/22wAwUfUgG"
"t.co/zmGIze2KkE"
"google"
"(direct)"
"google"
"google"
"google"
"google"
"(direct)"
"google"
"(direct)"
"google"
"google"
"google"
"google"
"search.myway.com/search/GGmain.jhtml"
"m.facebook.com/"
"caronte.unab.edu.co/requests/show/index/id/122316"
"google"
"(direct)"
"t.co/hWjYngHHFE"
"google"
"m.facebook.com/l.php"
"google"
"(direct)"
"bing"
"yahoo"
"google"
"google"
"google"
"lasillallena.lasillavacia.com/node/52/contenidos-compartidos"
"(direct)"
"(direct)"
"google"
"facebook.com/"
"t.co/3VhrCZTN3F"
"ar.bastiondigital.com/links"
"(direct)"
"google"
"(direct)"
"10.5.50.1/login"
"google"
"google"
"google"
"(direct)"
"(direct)"
"t.co/nuq9254Cf7"
"t.co/uXiQPxzeJD"
"(direct)"
"m.facebook.com/"
"t.co/vX4GUAMyvf"
"webpress.prensanet.com.co/INFConsulta.aspx"
"(direct)"
"google"
"colombia.mmi-e.com/portal/bancoxcategoria.php"
"webpress.prensanet.com.co/INFConsulta.aspx"
"t.co/nrg9WjgTEF"
"t.co/M2hl6fpSeX"
"google"
"t.co/2XYrhfVIkh"
"(direct)"
"facebook.com/"
"google"
"(direct)"
"t.co/3wI6ZPslbN"
"t.co/F57W9nuHWH"
"t.co/jmWgRk5FBJ"
"(direct)"
"t.co/F57W9nuHWH"
"google"
"t.co/E8kuB6r8vT"
"t.co/W0nSA7mgCH"
"t.co/nEG4OZGO0L"
"linkis.com/lasillavacia.com/elb/94Ly4"
"m.facebook.com/"
"google"
"google"
"facebook.com/"
"google"
"(direct)"
"(direct)"
"t.co/7B3OnbHAt4"
"t.co/BurovBLie8"
"t.co/qKW41RGvPF"
"google"
"m.facebook.com/"
"(direct)"
"t.co/r5DADtmBFf"
"(direct)"
"google"
"t.co/C3zybbDx8E"
"(direct)"
"google"
"webpress.prensanet.com.co/INFConsulta.aspx"
"(direct)"
"t.co/2YTPW3ZkE2"
"t.co/rZIX2JvB9h"
"(direct)"
"t.co/2YTPW3ZkE2"
"(direct)"
"m.facebook.com/l.php"
"l.facebook.com/l.php"
"lm.facebook.com/l.php"
"lm.facebook.com/lsr.php"
"m.facebook.com/"
"facebook.com/"
"t.co/wvKWXE3Onr"
"(direct)"
"(direct)"
"facebook.com/"
"l.facebook.com/l.php"
"m.facebook.com/"
"l.facebook.com/l.php"
"l.facebook.com/l.php"
"l.facebook.com/l.php"
"l.facebook.com/l.php"
"l.facebook.com/l.php"
"lm.facebook.com/l.php"
"m.facebook.com/"
"(direct)"
"t.co/RB6YW4Ofwb"
"t.co/vz1f262I8C"
"(direct)"
"webpress.prensanet.com.co/INFConsulta.aspx"
"facebook.com/"
"(direct)"
"google"
"t.co/u5kOLodpVi"
"dlvr.it"
"dlvr.it"
"(direct)"
"facebook.com/"
"(direct)"
"t.co/tGBHDLQ4hE"
"webpress.prensanet.com.co/INFConsulta.aspx"
"google"
"google"
"(direct)"
"t.co/3VhrCZTN3F"
"lm.facebook.com/l.php"
"lm.facebook.com/lsr.php"
"t.co/KvPNvoWcsT"
"t.co/UP5b6RauWv"
"t.co/djXfMYNF4c"
"(direct)"
"(direct)"
"dlvr.it"
"facebook.com/"
"google"
"google"
"t.co/fsLsforyvd"
"(direct)"
"google"
"t.co/RlCCkwh5sm"
"t.co/awssBeXDdz"
"(direct)"
"(direct)"
"google"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"facebook.com/"
"(direct)"
"(direct)"
"(direct)"
"google"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"mrp-ee.blogspot.fr/"
"(direct)"
"(direct)"
"google"
"m.facebook.com/l.php"
"(direct)"
"(direct)"
"google"
"(direct)"
"(direct)"
"elespectador.com/opinion/necesario-salvar-corte-columna-548831"
"facebook.com/"
"google"
"lm.facebook.com/l.php"
"m.facebook.com/"
"t.co/5ta08rVCRV"
"t.co/7xv8sBJZWU"
"t.co/DijlOc3RrT"
"t.co/ivBpOlcvsB"
"t.co/tuAsrKb82I"
"(direct)"
"(direct)"
"google"
"(direct)"
"t.co/5DYkOiqKWi"
"t.co/5DYkOiqKWi"
"google"
"facebook.com/"
"google"
"(direct)"
"google"
"(direct)"
"bing"
"google"
"lasillallena.lasillavacia.com/la-silla-de-las-mujeres/pensar-la-paz-desde-una-existencia-femenina"
"google"
"google"
"google"
"(direct)"
"facebook.com/"
"t.co/YQJWWSQAo5"
"google"
"google"
"(direct)"
"l.facebook.com/l.php"
"t.co/5Vcl87Ciu9"
"shoutmix.com/v3/chat.php"
"shoutmix.com/v3/chat.php"
"(direct)"
"colombia.mmi-e.com/portal/meses.php"
"google"
"t.co/Vr4kPrUiif"
"colombia.mmi-e.com/portal/meses.php"
"google"
"(direct)"
"google"
"(direct)"
"(direct)"
"(direct)"
"google"
"(direct)"
"(direct)"
"google"
"plus.url.google.com/url"
"(direct)"
"(direct)"
"google"
"t.co/AFRHHYqYFL"
"yahoo"
"google"
"(direct)"
"(direct)"
"(direct)"
"google"
"(direct)"
"google"
"google"
"t.co/uDFKHBAgvb"
"google"
"google"
"google"
"google"
"(direct)"
"(direct)"
"(direct)"
"google"
"facebook.com/"
"google"
"google"
"google"
"(direct)"
"google"
"google"
"m.facebook.com/"
"m.facebook.com/"
"(direct)"
"dlvr.it"
"dlvr.it"
"t.co/WWYpR2OY7s"
"t.co/WmNUiPUovv"
"(direct)"
"(direct)"
"yahoo"
"google"
"(direct)"
"(direct)"
"(direct)"
"m.facebook.com/"
"(direct)"
"l.facebook.com/lsr.php"
"google"
"(direct)"
"l.facebook.com/l.php"
"l.facebook.com/l.php"
"m.facebook.com/"
"facebook.com/"
"(direct)"
"ojosparalapaz-colombia.blogspot.com/2015/05/pifia-historica-o-pifia-periodistica.html"
"google"
"pueblosencamino.org/index.php/joomla-stuff-mainmenu-26/search-mainmenu-5/1328-colombia-los-gringos-abusan-y-los-medios-encubren"
"(direct)"
"(direct)"
"(direct)"
"t.co/LsOM30BCsE"
"(direct)"
"google"
"t.co/wAGXdgCM5L"
"google"
"google"
"google"
"t.co/qd17srxL16"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"google"
"es.wikipedia.org/wiki/Viviane_Morales"
"(direct)"
"derechos.org/nizkor/colombia/doc/julie29.html"
"google"
"(direct)"
"(direct)"
"(direct)"
"lm.facebook.com/lsr.php"
"(direct)"
"t.co/01UJ1V5otF"
"google"
"(direct)"
"google"
"facebook.com/"
"google"
"(direct)"
"m.facebook.com/"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"t.co/qBoAIM7X1C"
"(direct)"
"google"
"(direct)"
"google"
"google"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"m.facebook.com/"
"facebook.com/"
"t.co/BJXHLZqeID"
"(direct)"
"derechos.org/nizkor/colombia/doc/julie29.html"
"m2.facebook.com/l.php"
"facebook.com/"
"(direct)"
"(direct)"
"(direct)"
"m.facebook.com/"
"t.co/JCNdS5LiHW"
"google"
"(direct)"
"m.facebook.com/l.php"
"m.facebook.com/l.php"
"(direct)"
"m.facebook.com/"
"(direct)"
"google"
"(direct)"
"m.facebook.com/"
"t.co/FeZXoG7L93"
"lm.facebook.com/l.php"
"(direct)"
"(direct)"
"google"
"google"
"(direct)"
"t.co/UOM1i7qlsE"
"yahoo"
"t.co/eHuvUw2jdP"
"google"
"(direct)"
"(direct)"
"google"
"(direct)"
"(direct)"
"google"
"ideaspaz.org/publications/posts/963"
"google"
"(direct)"
"google"
"google"
"dlvr.it"
"(direct)"
"google"
"(direct)"
"(direct)"
"google"
"(direct)"
"google"
"(direct)"
"webpress.prensanet.com.co/INFConsulta.aspx"
"google"
"google"
"(direct)"
"facebook.com/"
"t.co/0YKGf2LzRR"
"t.co/1ZRWiS5spB"
"t.co/GIDyT78U5k"
"t.co/SODlGora5V"
"t.co/erjF9EIY31"
"t.co/jmWgRk5FBJ"
"lm.facebook.com/lsr.php"
"m.facebook.com/"
"m.facebook.com/"
"t.co/FaWba2xaTQ"
"t.co/R5bi6IpWCP"
"t.co/oUqVukSd2t"
"t.co/tkTYZQfs4A"
"facebook.com/"
"(direct)"
"t.co/1z5ZY9RINT"
"t.co/hPy8KfH27j"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"t.co/CfntKJlfzL"
"t.co/URwisxkU45"
"(direct)"
"google"
"m.facebook.com/l.php"
"t.co/4zLRHAoA9k"
"l.facebook.com/l.php"
"l.facebook.com/l.php"
"l.facebook.com/l.php"
"l.facebook.com/l.php"
"lm.facebook.com/l.php"
"lm.facebook.com/lsr.php"
"lm.facebook.com/lsr.php"
"lm.facebook.com/lsr.php"
"lm.facebook.com/lsr.php"
"m.facebook.com/"
"m.facebook.com/l.php"
"m.facebook.com/l.php"
"t.co/4zLRHAoA9k"
"t.co/GHCm8Jl1Wh"
"facebook.com/"
"(direct)"
"google"
"google"
"google"
"facebook.com/"
"google"
"google"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"dlvr.it"
"(direct)"
"(direct)"
"google"
"google"
"google"
"(direct)"
"(direct)"
"google"
"facebook.com/"
"ecbloguer.com/revelacionesdelbajomundo/"
"m.facebook.com/"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"(direct)"
"google"
"(direct)"
"m.facebook.com/"
"m.facebook.com/"
"facebook.com/"
"(direct)"
"m.facebook.com/"
"lm.facebook.com/l.php"
"lm.facebook.com/l.php"
"lm.facebook.com/lsr.php"
"m.facebook.com/"
"m.pulzo.com/entretenimiento/315981-julito-el-vago-que-se-graduo-de-colegio-femenino-que-hoy-es-uno-de-los"
"m.facebook.com/"
"facebook.com/"
"(direct)"
"google"
"(direct)"
"(direct)"
"google"
"facebook.com/"
"m.facebook.com/"
"(direct)"
"google"
"google"
"lm.facebook.com/l.php"
"lm.facebook.com/l.php"
"lm.facebook.com/l.php"
"m.facebook.com/"
"(direct)"
"(direct)"
"google"
"(direct)"
"t.co/kqhhszbEG4"
"t.co/57G2VXs3Fh"
"t.co/9a4CotnujD"
"t.co/feAEIc3ckd"
"google"
"google"
"t.co/2V5hnxklNl"
"t.co/6bS3ODmLFJ"
"t.co/7p8wT2KhE1"
"(direct)"
"(direct)"
"google"
"(direct)"
"t.co/tuAsrKb82I"
"(direct)"
"m.facebook.com/"
"t.co/iSdqdjdyER"
"t.co/tuAsrKb82I"
