"País","CAB","INF","PUT"
"Brazil",-3.61,177,7.62
"Colombia",-3.24,745,1.5
"Indonesia",-3.35,213,4.35
"India",-2.62,481,6.25
"Mexico",-2.10,307,2.04
"Russian Federation",1.62,701,5.89
